Date,Contract,Price,Position,New Trade Action,Pnl Daily
09/10/2018,DEC 18,30422.82,2,0,30060.56
10/10/2018,DEC 18,30459.16,2,0,30278.56
11/10/2018,DEC 18,30705.43,2,0,29899.06
12/10/2018,DEC 18,30564.13,2,0,30335.08
15/10/2018,DEC 18,30580.28,2,0,30254.34
16/10/2018,JAN 19,30624.69,2,-3,30272.5
17/10/2018,JAN 19,30506.6,-1,2,-15229.11
18/10/2018,JAN 19,30453.1,1,-2,15108
19/10/2018,JAN 19,30598.44,-1,-1,-14913.2
22/10/2018,JAN 19,30654.96,-2,0,-29763.84
23/10/2018,JAN 19,30731.67,-2,0,-29604.36
24/10/2018,JAN 19,30707.45,-2,0,-29642.7
25/10/2018,JAN 19,30760.94,-2,0,-29487.28
26/10/2018,JAN 19,30735.71,-2,0,-29507.28
29/10/2018,JAN 19,30561.1,-2,0,-29826.4
30/10/2018,JAN 19,30511.64,-2,3,-30508.7
31/10/2018,JAN 19,30536.88,1,0,15052.48
01/11/2018,JAN 19,30533.85,1,2,15170.57
02/11/2018,JAN 19,30528.8,3,0,45545.04
05/11/2018,JAN 19,30504.58,3,0,45738.81
06/11/2018,JAN 19,30489.35,3,0,46026.72
07/11/2018,JAN 19,30474.3,3,0,45944.7
08/11/2018,JAN 19,30765.99,3,0,45847.8
09/11/2018,JAN 19,30589.36,3,-4,45711.57
12/11/2018,JAN 19,30704.42,-1,-1,-14962.66
13/11/2018,JAN 19,30710.48,-2,0,-29935.4
14/11/2018,JAN 19,30750.85,-2,0,-28950.32
15/11/2018,JAN 19,30831.59,-2,0,-28984.64
16/11/2018,JAN 19,30789.2,-2,0,-27807.8
19/11/2018,JAN 19,31048.59,-2,0,-27232.5
20/11/2018,FEB 19,30826.55,-2,0,-28243.8
21/11/2018,FEB 19,30667.08,-2,1,-28306.38
22/11/2018,FEB 19,30678.18,-1,2,-14613.43
23/11/2018,FEB 19,30226.01,1,0,15378.49
26/11/2018,FEB 19,30323.91,1,0,15290.68
27/11/2018,FEB 19,29693.1,1,1,15669.17
28/11/2018,FEB 19,29664.84,2,0,31546.24
29/11/2018,FEB 19,29948.45,2,0,30880.12
30/11/2018,FEB 19,29820.27,2,0,31487.72
03/12/2018,FEB 19,30291.61,2,0,30952.8
04/12/2018,FEB 19,30604.5,2,0,30484.46
05/12/2018,FEB 19,30614.59,2,0,30333.08
06/12/2018,FEB 19,30362.27,2,0,30880.1
07/12/2018,FEB 19,30437.96,2,0,30391.62
10/12/2018,FEB 19,30388.51,2,0,30611.64
11/12/2018,FEB 19,30564.13,2,0,30363.34
12/12/2018,FEB 19,30768.01,2,0,32388.02
13/12/2018,FEB 19,30846.73,2,0,32523.28
14/12/2018,FEB 19,30781.13,2,0,32462.7
17/12/2018,FEB 19,30802.32,2,0,32440.52
18/12/2018,MAR 19,30633.77,2,0,32868.44
19/12/2018,MAR 19,30694.33,2,0,32797.8
20/12/2018,MAR 19,30745.8,2,-3,32250.76
21/12/2018,MAR 19,30779.11,-1,2,-16369.63
24/12/2018,MAR 19,30811.41,1,-2,16569.47
27/12/2018,MAR 19,30733.69,-1,2,-16399.91
28/12/2018,MAR 19,30927.48,1,1,16211.17
31/12/2018,MAR 19,30917.38,2,0,32493
02/01/2019,MAR 19,30922.43,2,0,32684.76
03/01/2019,MAR 19,31013.27,2,0,32604
04/01/2019,MAR 19,30993.59,2,0,32724.12
07/01/2019,MAR 19,31199.99,2,-3,32133.68
08/01/2019,MAR 19,31391.76,-1,2,-15922.5
09/01/2019,MAR 19,31522.97,1,1,15933.61
10/01/2019,MAR 19,31603.71,2,0,31614.9
11/01/2019,MAR 19,31770.25,2,0,31485.7
14/01/2019,MAR 19,31962.02,2,0,31049.68
15/01/2019,APR 19,32108.37,2,0,30555.12
16/01/2019,APR 19,32012.48,2,0,31100.14
17/01/2019,APR 19,32022.58,2,0,30686.32
18/01/2019,APR 19,32067.99,2,0,31201.08
21/01/2019,APR 19,32093.23,2,0,31019.4
22/01/2019,APR 19,31871.18,2,0,31475.6
23/01/2019,APR 19,32148.74,2,0,31114.28
24/01/2019,APR 19,32380.88,2,0,31015.36
25/01/2019,APR 19,32133.6,2,0,31665.36
28/01/2019,APR 19,32138.65,2,0,32149.82
29/01/2019,APR 19,32163.88,2,0,31836.94
30/01/2019,APR 19,32264.81,2,0,31473.58
31/01/2019,APR 19,32315.27,2,0,31614.9
01/02/2019,APR 19,32355.65,2,0,31463.48
04/02/2019,APR 19,32266.83,2,0,31291.9
05/02/2019,APR 19,32314.26,2,0,31429.18
06/02/2019,APR 19,32456.58,2,0,30815.52
07/02/2019,APR 19,32411.16,2,0,31049.68
