Date,Contract,Price,Position,New Trade Action,Pnl Daily
03/04/2018,JUN 18,31697.62,8,0,5272.32
04/04/2018,JUN 18,31397.98,8,0,8872.48
05/04/2018,JUN 18,31549.83,8,0,7455.84
06/04/2018,JUN 18,31550.84,8,0,10960.16
09/04/2018,JUN 18,31678.39,8,0,9939.76
10/04/2018,JUN 18,31369.64,8,0,12369.36
11/04/2018,JUN 18,31501.24,8,0,13698.56
12/04/2018,JUN 18,31401.02,8,0,8969.28
13/04/2018,JUN 18,31556.92,8,0,8125.84
16/04/2018,JUN 18,31531.61,8,0,9539.44
17/04/2018,JUL 18,31966.9,8,0,7268.32
18/04/2018,JUL 18,31966.9,8,0,3231.12
19/04/2018,JUL 18,31946.65,8,0,5613.6
20/04/2018,JUL 18,32230.09,8,0,3628.64
23/04/2018,JUL 18,31551.85,8,0,8045.28
24/04/2018,JUL 18,31602.47,8,-1,9053.36
25/04/2018,JUL 18,31754.31,7,-2,6710.41
26/04/2018,JUL 18,31906.16,5,-1,2449.3
27/04/2018,JUL 18,31400.01,4,3,4690.56
30/04/2018,JUL 18,31678.39,7,-2,4140.29
01/05/2018,JUL 18,31703.7,5,0,3613
02/05/2018,JUL 18,31587.28,5,0,4084.05
03/05/2018,JUL 18,31708.76,5,0,3032.55
04/05/2018,JUL 18,31734.07,5,1,2174.25
08/05/2018,JUL 18,31425.32,6,0,4037.7
09/05/2018,JUL 18,31612.59,6,0,3731.64
10/05/2018,JUL 18,31324.09,6,0,4978.2
11/05/2018,JUL 18,31475.93,6,0,3007.38
14/05/2018,JUL 18,31453.66,6,0,3716.28
15/05/2018,AUG 18,31349.39,6,0,3100.44
16/05/2018,AUG 18,31303.84,6,0,1708.38
17/05/2018,AUG 18,31126.69,6,0,4497.24
18/05/2018,AUG 18,31278.53,6,0,4434
21/05/2018,AUG 18,31192.49,6,1,5101.62
22/05/2018,AUG 18,31020.4,7,-2,8251.6
23/05/2018,AUG 18,31117.58,5,0,4525
24/05/2018,AUG 18,30916.13,5,0,5910.7
25/05/2018,AUG 18,30640.78,5,0,8952.8
29/05/2018,AUG 18,30914.1,5,0,9377.75
30/05/2018,AUG 18,31065.95,5,0,8113.85
31/05/2018,AUG 18,31091.26,5,0,7734.95
01/06/2018,AUG 18,31243.1,5,0,6723.45
04/06/2018,AUG 18,31065.95,5,0,6372.8
05/06/2018,AUG 18,31141.87,5,0,6018.4
06/06/2018,AUG 18,31470.87,5,0,3969.7
07/06/2018,AUG 18,31825.17,5,0,724.6
08/06/2018,AUG 18,31723.94,5,0,433.4
11/06/2018,AUG 18,31673.33,5,1,2134.8
12/06/2018,AUG 18,31627.78,6,0,1975.14
13/06/2018,AUG 18,31369.64,6,0,2888.1
14/06/2018,AUG 18,31379.76,6,-1,1131.78
15/06/2018,AUG 18,31298.78,5,0,1247.1
18/06/2018,AUG 18,30996.1,5,0,1524.1
19/06/2018,SEP 18,30843.24,5,0,1001.55
20/06/2018,SEP 18,31123.65,5,0,356.45
21/06/2018,SEP 18,30974.84,5,0,1100.5
22/06/2018,SEP 18,30873.61,5,0,1132.3
25/06/2018,SEP 18,30595.23,5,0,2221.4
26/06/2018,SEP 18,30571.95,5,0,1490
27/06/2018,SEP 18,30325.96,5,0,2245.55
28/06/2018,SEP 18,30068.83,5,0,5100.7
29/06/2018,SEP 18,30220.68,5,0,5047.95
02/07/2018,SEP 18,30230.8,5,0,2983.8
03/07/2018,SEP 18,30135.65,5,0,4867.5
04/07/2018,SEP 18,30080.98,5,2,5847.4
05/07/2018,SEP 18,29904.84,7,0,7405.72
06/07/2018,SEP 18,29803.61,7,0,7973.07
09/07/2018,SEP 18,30134.63,7,0,5415.69
10/07/2018,SEP 18,30261.17,7,0,4734.8
11/07/2018,SEP 18,29857.26,7,-2,7456.19
12/07/2018,SEP 18,30129.57,5,0,3929
13/07/2018,SEP 18,30271.29,5,0,4239.8
16/07/2018,SEP 18,29982.79,5,0,6086
17/07/2018,OCT 18,29972.67,5,0,6641.25
18/07/2018,OCT 18,29932.17,5,0,7272.7
19/07/2018,OCT 18,29956.47,5,2,7696.25
20/07/2018,OCT 18,29943.31,7,0,11234.23
23/07/2018,OCT 18,29936.22,7,0,9482.27
24/07/2018,OCT 18,30144.76,7,0,6397.51
25/07/2018,OCT 18,30221.69,7,0,5823.65
26/07/2018,OCT 18,30326.97,7,-2,4556.79
27/07/2018,OCT 18,30402.89,5,0,3127.6
30/07/2018,OCT 18,30514.25,5,0,1687.65
31/07/2018,OCT 18,30580.05,5,1,2196.35
01/08/2018,OCT 18,30316.85,6,0,3694.02
02/08/2018,OCT 18,30094.14,6,0,4394.46
03/08/2018,OCT 18,30089.08,6,0,2075.16
06/08/2018,OCT 18,30003.03,6,0,-1114.74
07/08/2018,OCT 18,30054.66,6,0,-183.06
08/08/2018,OCT 18,29876.5,6,0,1461.18
09/08/2018,OCT 18,30050.61,6,0,991.86
10/08/2018,OCT 18,29982.79,6,0,2912.7
13/08/2018,OCT 18,29871.44,6,0,5609.52
14/08/2018,NOV 18,29473.6,6,1,6361.5
15/08/2018,NOV 18,28859.14,7,-2,11016.46
16/08/2018,NOV 18,29081.84,5,0,7083.4
17/08/2018,NOV 18,29172.95,5,0,6047.5
20/08/2018,NOV 18,29264.06,5,3,6863.7
21/08/2018,NOV 18,29512.07,8,-3,7326.4
22/08/2018,NOV 18,29851.19,5,2,2126.45
23/08/2018,NOV 18,29572.81,7,-2,4890.34
24/08/2018,NOV 18,29471.58,5,-1,3974
28/08/2018,NOV 18,29527.25,4,0,3037.28
29/08/2018,NOV 18,29411.85,4,0,4346.68
30/08/2018,NOV 18,29674.04,4,0,3116.24
31/08/2018,NOV 18,29461.45,4,0,4128.12
03/09/2018,NOV 18,29310.62,4,0,4711.24
04/09/2018,NOV 18,29296.45,4,0,4667
05/09/2018,NOV 18,29297.46,4,4,4727.56
06/09/2018,NOV 18,29329.86,8,0,9026.32
07/09/2018,NOV 18,29532.32,8,0,6922.16
10/09/2018,NOV 18,29482.71,8,0,6471.2
11/09/2018,NOV 18,29524.22,8,0,6873.92
12/09/2018,NOV 18,29530.29,8,0,7261.36
13/09/2018,NOV 18,29504.98,8,0,6874.4
14/09/2018,NOV 18,29521.18,8,0,6486.48
17/09/2018,NOV 18,29501.95,8,0,6438.4
18/09/2018,DEC 18,29436.15,8,0,6762.96
19/09/2018,DEC 18,29319.73,8,0,7855.84
20/09/2018,DEC 18,29412.86,8,0,7998.96
21/09/2018,DEC 18,29461.45,8,-3,7448.8
24/09/2018,DEC 18,29387.56,5,-1,5201.55
25/09/2018,DEC 18,29370.35,4,0,4169.52
26/09/2018,DEC 18,29345.04,4,0,4270.76
27/09/2018,DEC 18,29324.79,4,0,4028.8
28/09/2018,DEC 18,29345.04,4,0,4311.12
01/10/2018,DEC 18,29451.33,4,0,4031.32
02/10/2018,DEC 18,29431.09,4,0,5097.36
03/10/2018,DEC 18,29471.58,4,1,4370.2
04/10/2018,DEC 18,29446.27,5,2,5670.05
05/10/2018,DEC 18,29451.33,7,-2,8213.52
08/10/2018,DEC 18,29375.41,5,0,5655.95
09/10/2018,DEC 18,29466.52,5,0,4932.9
10/10/2018,DEC 18,29501.95,5,1,5482.45
11/10/2018,DEC 18,29760.08,6,0,5369.28
12/10/2018,DEC 18,29603.18,6,0,6770.94
15/10/2018,DEC 18,29626.46,6,0,6485.94
16/10/2018,JAN 19,29663.91,6,0,6582.18
17/10/2018,JAN 19,29540.41,6,0,7171.8
18/10/2018,JAN 19,29485.75,6,0,6452.1
19/10/2018,JAN 19,29632.53,6,0,5274.66
22/10/2018,JAN 19,29689.22,6,0,5085.96
23/10/2018,JAN 19,29766.16,6,0,4606.14
24/10/2018,JAN 19,29741.86,6,1,4721.64
25/10/2018,JAN 19,29800.57,7,-2,4928.07
26/10/2018,JAN 19,29775.27,5,0,3570.4
29/10/2018,JAN 19,29600.14,5,0,4370.8
30/10/2018,JAN 19,29552.56,5,3,6067.15
31/10/2018,JAN 19,29577.87,8,-1,8091.92
01/11/2018,JAN 19,29577.87,7,2,7885.85
02/11/2018,JAN 19,29577.87,9,0,10193.49
05/11/2018,JAN 19,29553.57,9,0,10775.52
06/11/2018,JAN 19,29528.27,9,-1,11729.88
07/11/2018,JAN 19,29532.32,8,0,10055.04
08/11/2018,JAN 19,29810.7,8,0,9903.12
09/11/2018,JAN 19,29626.45,8,0,9600.8
12/11/2018,JAN 19,29743.89,8,0,7385.52
13/11/2018,JAN 19,29749.96,8,-3,7425.76
14/11/2018,JAN 19,29785.39,5,2,2203.1
15/11/2018,JAN 19,29876.5,7,1,3131.87
16/11/2018,JAN 19,29833.98,8,0,-1127.04
19/11/2018,JAN 19,30089.08,8,0,-3393.92
20/11/2018,FEB 19,29866.37,8,0,656.64
21/11/2018,FEB 19,29709.47,8,0,886.4
22/11/2018,FEB 19,29719.59,8,0,4576.16
23/11/2018,FEB 19,29264.06,8,0,10723.52
26/11/2018,FEB 19,29367.31,8,0,9978.24
27/11/2018,FEB 19,28735.63,8,0,13013.12
28/11/2018,FEB 19,28700.2,8,0,13902.08
29/11/2018,FEB 19,28985.67,8,0,11222.72
30/11/2018,FEB 19,28862.17,8,0,13615.68
03/12/2018,FEB 19,29329.86,8,0,11505.2
04/12/2018,FEB 19,29643.67,8,0,9624.48
05/12/2018,FEB 19,29648.73,8,0,9059.2
06/12/2018,FEB 19,29395.65,8,0,11253.36
07/12/2018,FEB 19,29472.59,8,0,9289.44
10/12/2018,FEB 19,29422.99,8,0,10170.72
11/12/2018,FEB 19,29605.2,8,0,9124.8
12/12/2018,FEB 19,29808.67,8,-3,17226.8
13/12/2018,FEB 19,29886.62,5,0,11108.75
14/12/2018,FEB 19,29812.72,5,0,10998.8
17/12/2018,FEB 19,29833.98,5,1,10943
18/12/2018,MAR 19,29667.96,6,0,14400.18
19/12/2018,MAR 19,29738.82,6,0,14126.46
20/12/2018,MAR 19,29785.39,6,0,12514.74
21/12/2018,MAR 19,29818.8,6,0,13979.64
24/12/2018,MAR 19,29841.07,6,0,15238.86
27/12/2018,MAR 19,29773.24,6,0,14162.16
28/12/2018,MAR 19,29967.6,6,0,13026.3
31/12/2018,MAR 19,29962.54,6,0,13208.04
02/01/2019,MAR 19,29967.6,6,0,13783.26
03/01/2019,MAR 19,30053.65,6,1,13569.72
04/01/2019,MAR 19,30038.47,7,-2,16220.26
07/01/2019,MAR 19,30235.86,5,0,10154.85
08/01/2019,MAR 19,30428.2,5,0,9430.3
09/01/2019,MAR 19,30557.77,5,3,9494.05
10/01/2019,MAR 19,30627.62,8,0,14268.32
11/01/2019,MAR 19,30792.63,8,0,13763.76
14/01/2019,MAR 19,30969.78,8,0,12136.64
15/01/2019,APR 19,31141.87,8,0,9952.48
16/01/2019,APR 19,31045.7,8,0,12134.8
